序号,日期时间,电价_$/MWh,日期,时间
1,2024-01-01 01:00:00,47.59,2024-01-01,01:00:00
2,2024-01-01 01:05:00,39.08,2024-01-01,01:05:00
3,2024-01-01 01:10:00,48.23,2024-01-01,01:10:00
4,2024-01-01 01:15:00,45.91,2024-01-01,01:15:00
5,2024-01-01 01:20:00,46.51,2024-01-01,01:20:00
6,2024-01-01 01:25:00,46.14,2024-01-01,01:25:00
7,2024-01-01 01:30:00,48.37,2024-01-01,01:30:00
8,2024-01-01 01:35:00,52.86,2024-01-01,01:35:00
9,2024-01-01 01:40:00,48.07,2024-01-01,01:40:00
10,2024-01-01 01:45:00,38.42,2024-01-01,01:45:00
11,2024-01-01 01:50:00,38.92,2024-01-01,01:50:00
12,2024-01-01 01:55:00,34.4,2024-01-01,01:55:00
13,2024-01-02 01:00:00,55.33,2024-01-02,01:00:00
14,2024-01-02 01:05:00,55.67,2024-01-02,01:05:00
15,2024-01-02 01:10:00,55.19,2024-01-02,01:10:00
16,2024-01-02 01:15:00,53.68,2024-01-02,01:15:00
17,2024-01-02 01:20:00,53.17,2024-01-02,01:20:00
18,2024-01-02 01:25:00,49.61,2024-01-02,01:25:00
19,2024-01-02 01:30:00,49.59,2024-01-02,01:30:00
20,2024-01-02 01:35:00,52.19,2024-01-02,01:35:00
21,2024-01-02 01:40:00,51.51,2024-01-02,01:40:00
22,2024-01-02 01:45:00,51.51,2024-01-02,01:45:00
23,2024-01-02 01:50:00,51.52,2024-01-02,01:50:00
24,2024-01-02 01:55:00,50.16,2024-01-02,01:55:00
25,2024-01-03 01:00:00,85.35,2024-01-03,01:00:00
26,2024-01-03 01:05:00,85.63,2024-01-03,01:05:00
27,2024-01-03 01:10:00,98.95,2024-01-03,01:10:00
28,2024-01-03 01:15:00,82.31,2024-01-03,01:15:00
29,2024-01-03 01:20:00,70.36,2024-01-03,01:20:00
30,2024-01-03 01:25:00,69.16,2024-01-03,01:25:00
31,2024-01-03 01:30:00,67.95,2024-01-03,01:30:00
32,2024-01-03 01:35:00,67.96,2024-01-03,01:35:00
33,2024-01-03 01:40:00,67.28,2024-01-03,01:40:00
34,2024-01-03 01:45:00,66.61,2024-01-03,01:45:00
35,2024-01-03 01:50:00,63.11,2024-01-03,01:50:00
36,2024-01-03 01:55:00,54.96,2024-01-03,01:55:00
37,2024-01-04 01:00:00,46.02,2024-01-04,01:00:00
38,2024-01-04 01:05:00,47.24,2024-01-04,01:05:00
39,2024-01-04 01:10:00,52.59,2024-01-04,01:10:00
40,2024-01-04 01:15:00,53.57,2024-01-04,01:15:00
41,2024-01-04 01:20:00,52.93,2024-01-04,01:20:00
42,2024-01-04 01:25:00,49.33,2024-01-04,01:25:00
43,2024-01-04 01:30:00,48.66,2024-01-04,01:30:00
44,2024-01-04 01:35:00,50.07,2024-01-04,01:35:00
45,2024-01-04 01:40:00,50.5,2024-01-04,01:40:00
46,2024-01-04 01:45:00,50.27,2024-01-04,01:45:00
47,2024-01-04 01:50:00,47.29,2024-01-04,01:50:00
48,2024-01-04 01:55:00,46.03,2024-01-04,01:55:00
49,2024-01-05 01:00:00,58.71,2024-01-05,01:00:00
50,2024-01-05 01:05:00,61.79,2024-01-05,01:05:00
51,2024-01-05 01:10:00,60.18,2024-01-05,01:10:00
52,2024-01-05 01:15:00,59.38,2024-01-05,01:15:00
53,2024-01-05 01:20:00,57.99,2024-01-05,01:20:00
54,2024-01-05 01:25:00,56.78,2024-01-05,01:25:00
55,2024-01-05 01:30:00,55.71,2024-01-05,01:30:00
56,2024-01-05 01:35:00,59.29,2024-01-05,01:35:00
57,2024-01-05 01:40:00,57.61,2024-01-05,01:40:00
58,2024-01-05 01:45:00,57.31,2024-01-05,01:45:00
59,2024-01-05 01:50:00,53.85,2024-01-05,01:50:00
60,2024-01-05 01:55:00,53.42,2024-01-05,01:55:00
61,2024-01-06 01:00:00,55.26,2024-01-06,01:00:00
62,2024-01-06 01:05:00,54.06,2024-01-06,01:05:00
63,2024-01-06 01:10:00,53.98,2024-01-06,01:10:00
64,2024-01-06 01:15:00,46.82,2024-01-06,01:15:00
65,2024-01-06 01:20:00,40.07,2024-01-06,01:20:00
66,2024-01-06 01:25:00,36.95,2024-01-06,01:25:00
67,2024-01-06 01:30:00,36.96,2024-01-06,01:30:00
68,2024-01-06 01:35:00,36.68,2024-01-06,01:35:00
69,2024-01-06 01:40:00,36.96,2024-01-06,01:40:00
70,2024-01-06 01:45:00,35.42,2024-01-06,01:45:00
71,2024-01-06 01:50:00,35.23,2024-01-06,01:50:00
72,2024-01-06 01:55:00,35.23,2024-01-06,01:55:00
73,2024-01-07 01:00:00,90.26,2024-01-07,01:00:00
74,2024-01-07 01:05:00,115.61,2024-01-07,01:05:00
75,2024-01-07 01:10:00,298.44,2024-01-07,01:10:00
76,2024-01-07 01:15:00,349.98,2024-01-07,01:15:00
77,2024-01-07 01:20:00,73.93,2024-01-07,01:20:00
78,2024-01-07 01:25:00,75.96,2024-01-07,01:25:00
79,2024-01-07 01:30:00,72.82,2024-01-07,01:30:00
80,2024-01-07 01:35:00,75.69,2024-01-07,01:35:00
81,2024-01-07 01:40:00,75.69,2024-01-07,01:40:00
82,2024-01-07 01:45:00,72.44,2024-01-07,01:45:00
83,2024-01-07 01:50:00,73.7,2024-01-07,01:50:00
84,2024-01-07 01:55:00,64.55,2024-01-07,01:55:00
85,2024-01-08 01:00:00,95.98,2024-01-08,01:00:00
86,2024-01-08 01:05:00,112.06,2024-01-08,01:05:00
87,2024-01-08 01:10:00,97.38,2024-01-08,01:10:00
88,2024-01-08 01:15:00,96.38,2024-01-08,01:15:00
89,2024-01-08 01:20:00,96.61,2024-01-08,01:20:00
90,2024-01-08 01:25:00,91.45,2024-01-08,01:25:00
91,2024-01-08 01:30:00,95.0,2024-01-08,01:30:00
92,2024-01-08 01:35:00,98.39,2024-01-08,01:35:00
93,2024-01-08 01:40:00,99.94,2024-01-08,01:40:00
94,2024-01-08 01:45:00,99.47,2024-01-08,01:45:00
95,2024-01-08 01:50:00,99.89,2024-01-08,01:50:00
96,2024-01-08 01:55:00,95.0,2024-01-08,01:55:00
97,2024-01-09 01:00:00,90.44,2024-01-09,01:00:00
98,2024-01-09 01:05:00,87.92,2024-01-09,01:05:00
99,2024-01-09 01:10:00,89.78,2024-01-09,01:10:00
100,2024-01-09 01:15:00,88.32,2024-01-09,01:15:00
101,2024-01-09 01:20:00,77.63,2024-01-09,01:20:00
102,2024-01-09 01:25:00,78.21,2024-01-09,01:25:00
103,2024-01-09 01:30:00,79.94,2024-01-09,01:30:00
104,2024-01-09 01:35:00,75.17,2024-01-09,01:35:00
105,2024-01-09 01:40:00,82.25,2024-01-09,01:40:00
106,2024-01-09 01:45:00,77.07,2024-01-09,01:45:00
107,2024-01-09 01:50:00,72.13,2024-01-09,01:50:00
108,2024-01-09 01:55:00,72.13,2024-01-09,01:55:00
109,2024-01-10 01:00:00,104.83,2024-01-10,01:00:00
110,2024-01-10 01:05:00,133.39,2024-01-10,01:05:00
111,2024-01-10 01:10:00,133.98,2024-01-10,01:10:00
112,2024-01-10 01:15:00,105.02,2024-01-10,01:15:00
113,2024-01-10 01:20:00,104.49,2024-01-10,01:20:00
114,2024-01-10 01:25:00,105.55,2024-01-10,01:25:00
115,2024-01-10 01:30:00,105.56,2024-01-10,01:30:00
116,2024-01-10 01:35:00,131.95,2024-01-10,01:35:00
117,2024-01-10 01:40:00,132.63,2024-01-10,01:40:00
118,2024-01-10 01:45:00,115.75,2024-01-10,01:45:00
119,2024-01-10 01:50:00,106.38,2024-01-10,01:50:00
120,2024-01-10 01:55:00,116.28,2024-01-10,01:55:00
121,2024-01-11 01:00:00,65.58,2024-01-11,01:00:00
122,2024-01-11 01:05:00,65.57,2024-01-11,01:05:00
123,2024-01-11 01:10:00,64.59,2024-01-11,01:10:00
124,2024-01-11 01:15:00,64.92,2024-01-11,01:15:00
125,2024-01-11 01:20:00,64.59,2024-01-11,01:20:00
126,2024-01-11 01:25:00,64.59,2024-01-11,01:25:00
127,2024-01-11 01:30:00,64.59,2024-01-11,01:30:00
128,2024-01-11 01:35:00,62.92,2024-01-11,01:35:00
129,2024-01-11 01:40:00,64.42,2024-01-11,01:40:00
130,2024-01-11 01:45:00,56.81,2024-01-11,01:45:00
131,2024-01-11 01:50:00,56.66,2024-01-11,01:50:00
132,2024-01-11 01:55:00,53.86,2024-01-11,01:55:00
133,2024-01-12 01:00:00,65.22,2024-01-12,01:00:00
134,2024-01-12 01:05:00,65.55,2024-01-12,01:05:00
135,2024-01-12 01:10:00,65.22,2024-01-12,01:10:00
136,2024-01-12 01:15:00,62.21,2024-01-12,01:15:00
137,2024-01-12 01:20:00,64.24,2024-01-12,01:20:00
138,2024-01-12 01:25:00,64.57,2024-01-12,01:25:00
139,2024-01-12 01:30:00,64.9,2024-01-12,01:30:00
140,2024-01-12 01:35:00,65.9,2024-01-12,01:35:00
141,2024-01-12 01:40:00,66.23,2024-01-12,01:40:00
142,2024-01-12 01:45:00,65.9,2024-01-12,01:45:00
143,2024-01-12 01:50:00,65.57,2024-01-12,01:50:00
144,2024-01-12 01:55:00,65.59,2024-01-12,01:55:00
145,2024-01-13 01:00:00,89.42,2024-01-13,01:00:00
146,2024-01-13 01:05:00,90.12,2024-01-13,01:05:00
147,2024-01-13 01:10:00,73.27,2024-01-13,01:10:00
148,2024-01-13 01:15:00,70.63,2024-01-13,01:15:00
149,2024-01-13 01:20:00,68.57,2024-01-13,01:20:00
150,2024-01-13 01:25:00,66.09,2024-01-13,01:25:00
151,2024-01-13 01:30:00,56.41,2024-01-13,01:30:00
152,2024-01-13 01:35:00,52.1,2024-01-13,01:35:00
153,2024-01-13 01:40:00,52.12,2024-01-13,01:40:00
154,2024-01-13 01:45:00,51.55,2024-01-13,01:45:00
155,2024-01-13 01:50:00,50.69,2024-01-13,01:50:00
156,2024-01-13 01:55:00,51.32,2024-01-13,01:55:00
157,2024-01-14 01:00:00,8.26,2024-01-14,01:00:00
158,2024-01-14 01:05:00,8.35,2024-01-14,01:05:00
159,2024-01-14 01:10:00,4.94,2024-01-14,01:10:00
160,2024-01-14 01:15:00,8.4,2024-01-14,01:15:00
161,2024-01-14 01:20:00,8.26,2024-01-14,01:20:00
162,2024-01-14 01:25:00,8.22,2024-01-14,01:25:00
163,2024-01-14 01:30:00,8.09,2024-01-14,01:30:00
164,2024-01-14 01:35:00,7.9,2024-01-14,01:35:00
165,2024-01-14 01:40:00,8.13,2024-01-14,01:40:00
166,2024-01-14 01:45:00,8.09,2024-01-14,01:45:00
167,2024-01-14 01:50:00,5.81,2024-01-14,01:50:00
168,2024-01-14 01:55:00,0.02,2024-01-14,01:55:00
169,2024-01-15 01:00:00,9.03,2024-01-15,01:00:00
170,2024-01-15 01:05:00,19.33,2024-01-15,01:05:00
171,2024-01-15 01:10:00,20.02,2024-01-15,01:10:00
172,2024-01-15 01:15:00,5.26,2024-01-15,01:15:00
173,2024-01-15 01:20:00,9.31,2024-01-15,01:20:00
174,2024-01-15 01:25:00,9.16,2024-01-15,01:25:00
175,2024-01-15 01:30:00,9.22,2024-01-15,01:30:00
176,2024-01-15 01:35:00,9.12,2024-01-15,01:35:00
177,2024-01-15 01:40:00,-20.06,2024-01-15,01:40:00
178,2024-01-15 01:45:00,8.98,2024-01-15,01:45:00
179,2024-01-15 01:50:00,8.89,2024-01-15,01:50:00
180,2024-01-15 01:55:00,8.89,2024-01-15,01:55:00
181,2024-01-16 01:00:00,40.32,2024-01-16,01:00:00
182,2024-01-16 01:05:00,39.8,2024-01-16,01:05:00
183,2024-01-16 01:10:00,44.96,2024-01-16,01:10:00
184,2024-01-16 01:15:00,53.2,2024-01-16,01:15:00
185,2024-01-16 01:20:00,39.31,2024-01-16,01:20:00
186,2024-01-16 01:25:00,99.98,2024-01-16,01:25:00
187,2024-01-16 01:30:00,38.52,2024-01-16,01:30:00
188,2024-01-16 01:35:00,63.54,2024-01-16,01:35:00
189,2024-01-16 01:40:00,37.63,2024-01-16,01:40:00
190,2024-01-16 01:45:00,48.47,2024-01-16,01:45:00
191,2024-01-16 01:50:00,50.4,2024-01-16,01:50:00
192,2024-01-16 01:55:00,229.98,2024-01-16,01:55:00
193,2024-01-17 01:00:00,30.1,2024-01-17,01:00:00
194,2024-01-17 01:05:00,23.6,2024-01-17,01:05:00
195,2024-01-17 01:10:00,26.55,2024-01-17,01:10:00
196,2024-01-17 01:15:00,20.01,2024-01-17,01:15:00
197,2024-01-17 01:20:00,23.99,2024-01-17,01:20:00
198,2024-01-17 01:25:00,23.13,2024-01-17,01:25:00
199,2024-01-17 01:30:00,9.59,2024-01-17,01:30:00
200,2024-01-17 01:35:00,15.68,2024-01-17,01:35:00
201,2024-01-17 01:40:00,17.95,2024-01-17,01:40:00
202,2024-01-17 01:45:00,30.34,2024-01-17,01:45:00
203,2024-01-17 01:50:00,20.77,2024-01-17,01:50:00
204,2024-01-17 01:55:00,25.46,2024-01-17,01:55:00
205,2024-01-18 01:00:00,52.71,2024-01-18,01:00:00
206,2024-01-18 01:05:00,55.37,2024-01-18,01:05:00
207,2024-01-18 01:10:00,55.46,2024-01-18,01:10:00
208,2024-01-18 01:15:00,67.57,2024-01-18,01:15:00
209,2024-01-18 01:20:00,67.41,2024-01-18,01:20:00
210,2024-01-18 01:25:00,67.6,2024-01-18,01:25:00
211,2024-01-18 01:30:00,70.42,2024-01-18,01:30:00
212,2024-01-18 01:35:00,71.23,2024-01-18,01:35:00
213,2024-01-18 01:40:00,73.69,2024-01-18,01:40:00
214,2024-01-18 01:45:00,59.94,2024-01-18,01:45:00
215,2024-01-18 01:50:00,55.31,2024-01-18,01:50:00
216,2024-01-18 01:55:00,54.54,2024-01-18,01:55:00
217,2024-01-19 01:00:00,37.15,2024-01-19,01:00:00
218,2024-01-19 01:05:00,39.98,2024-01-19,01:05:00
219,2024-01-19 01:10:00,36.42,2024-01-19,01:10:00
220,2024-01-19 01:15:00,40.55,2024-01-19,01:15:00
221,2024-01-19 01:20:00,36.26,2024-01-19,01:20:00
222,2024-01-19 01:25:00,37.63,2024-01-19,01:25:00
223,2024-01-19 01:30:00,38.63,2024-01-19,01:30:00
224,2024-01-19 01:35:00,36.12,2024-01-19,01:35:00
225,2024-01-19 01:40:00,40.38,2024-01-19,01:40:00
226,2024-01-19 01:45:00,35.69,2024-01-19,01:45:00
227,2024-01-19 01:50:00,35.81,2024-01-19,01:50:00
228,2024-01-19 01:55:00,35.46,2024-01-19,01:55:00
229,2024-01-20 01:00:00,49.18,2024-01-20,01:00:00
230,2024-01-20 01:05:00,54.36,2024-01-20,01:05:00
231,2024-01-20 01:10:00,58.47,2024-01-20,01:10:00
232,2024-01-20 01:15:00,55.69,2024-01-20,01:15:00
233,2024-01-20 01:20:00,53.26,2024-01-20,01:20:00
234,2024-01-20 01:25:00,44.48,2024-01-20,01:25:00
235,2024-01-20 01:30:00,42.95,2024-01-20,01:30:00
236,2024-01-20 01:35:00,42.58,2024-01-20,01:35:00
237,2024-01-20 01:40:00,41.24,2024-01-20,01:40:00
238,2024-01-20 01:45:00,48.06,2024-01-20,01:45:00
239,2024-01-20 01:50:00,38.16,2024-01-20,01:50:00
240,2024-01-20 01:55:00,33.91,2024-01-20,01:55:00
241,2024-01-21 01:00:00,63.66,2024-01-21,01:00:00
242,2024-01-21 01:05:00,63.77,2024-01-21,01:05:00
243,2024-01-21 01:10:00,62.95,2024-01-21,01:10:00
244,2024-01-21 01:15:00,62.7,2024-01-21,01:15:00
245,2024-01-21 01:20:00,61.82,2024-01-21,01:20:00
246,2024-01-21 01:25:00,60.85,2024-01-21,01:25:00
247,2024-01-21 01:30:00,62.76,2024-01-21,01:30:00
248,2024-01-21 01:35:00,61.56,2024-01-21,01:35:00
249,2024-01-21 01:40:00,61.94,2024-01-21,01:40:00
250,2024-01-21 01:45:00,61.52,2024-01-21,01:45:00
251,2024-01-21 01:50:00,61.59,2024-01-21,01:50:00
252,2024-01-21 01:55:00,61.06,2024-01-21,01:55:00
253,2024-01-22 01:00:00,32.81,2024-01-22,01:00:00
254,2024-01-22 01:05:00,32.89,2024-01-22,01:05:00
255,2024-01-22 01:10:00,32.74,2024-01-22,01:10:00
256,2024-01-22 01:15:00,32.68,2024-01-22,01:15:00
257,2024-01-22 01:20:00,32.45,2024-01-22,01:20:00
258,2024-01-22 01:25:00,32.45,2024-01-22,01:25:00
259,2024-01-22 01:30:00,31.9,2024-01-22,01:30:00
260,2024-01-22 01:35:00,31.67,2024-01-22,01:35:00
261,2024-01-22 01:40:00,31.69,2024-01-22,01:40:00
262,2024-01-22 01:45:00,28.83,2024-01-22,01:45:00
263,2024-01-22 01:50:00,27.28,2024-01-22,01:50:00
264,2024-01-22 01:55:00,28.43,2024-01-22,01:55:00
265,2024-01-23 01:00:00,45.99,2024-01-23,01:00:00
266,2024-01-23 01:05:00,36.51,2024-01-23,01:05:00
267,2024-01-23 01:10:00,46.57,2024-01-23,01:10:00
268,2024-01-23 01:15:00,46.2,2024-01-23,01:15:00
269,2024-01-23 01:20:00,37.13,2024-01-23,01:20:00
270,2024-01-23 01:25:00,35.95,2024-01-23,01:25:00
271,2024-01-23 01:30:00,30.45,2024-01-23,01:30:00
272,2024-01-23 01:35:00,36.31,2024-01-23,01:35:00
273,2024-01-23 01:40:00,42.97,2024-01-23,01:40:00
274,2024-01-23 01:45:00,36.95,2024-01-23,01:45:00
275,2024-01-23 01:50:00,39.02,2024-01-23,01:50:00
276,2024-01-23 01:55:00,43.36,2024-01-23,01:55:00
277,2024-01-24 01:00:00,90.09,2024-01-24,01:00:00
278,2024-01-24 01:05:00,165.53,2024-01-24,01:05:00
279,2024-01-24 01:10:00,99.99,2024-01-24,01:10:00
280,2024-01-24 01:15:00,90.09,2024-01-24,01:15:00
281,2024-01-24 01:20:00,90.09,2024-01-24,01:20:00
282,2024-01-24 01:25:00,52.12,2024-01-24,01:25:00
283,2024-01-24 01:30:00,44.67,2024-01-24,01:30:00
284,2024-01-24 01:35:00,64.99,2024-01-24,01:35:00
285,2024-01-24 01:40:00,99.99,2024-01-24,01:40:00
286,2024-01-24 01:45:00,86.1,2024-01-24,01:45:00
287,2024-01-24 01:50:00,45.99,2024-01-24,01:50:00
288,2024-01-24 01:55:00,45.99,2024-01-24,01:55:00
289,2024-01-25 01:00:00,225.0,2024-01-25,01:00:00
290,2024-01-25 01:05:00,299.98,2024-01-25,01:05:00
291,2024-01-25 01:10:00,276.63,2024-01-25,01:10:00
292,2024-01-25 01:15:00,225.0,2024-01-25,01:15:00
293,2024-01-25 01:20:00,225.0,2024-01-25,01:20:00
294,2024-01-25 01:25:00,225.0,2024-01-25,01:25:00
295,2024-01-25 01:30:00,225.0,2024-01-25,01:30:00
296,2024-01-25 01:35:00,171.96,2024-01-25,01:35:00
297,2024-01-25 01:40:00,225.0,2024-01-25,01:40:00
298,2024-01-25 01:45:00,299.98,2024-01-25,01:45:00
299,2024-01-25 01:50:00,175.98,2024-01-25,01:50:00
300,2024-01-25 01:55:00,225.0,2024-01-25,01:55:00
301,2024-01-26 01:00:00,57.7,2024-01-26,01:00:00
302,2024-01-26 01:05:00,61.71,2024-01-26,01:05:00
303,2024-01-26 01:10:00,60.15,2024-01-26,01:10:00
304,2024-01-26 01:15:00,60.85,2024-01-26,01:15:00
305,2024-01-26 01:20:00,31.15,2024-01-26,01:20:00
306,2024-01-26 01:25:00,41.19,2024-01-26,01:25:00
307,2024-01-26 01:30:00,51.06,2024-01-26,01:30:00
308,2024-01-26 01:35:00,53.75,2024-01-26,01:35:00
309,2024-01-26 01:40:00,57.32,2024-01-26,01:40:00
310,2024-01-26 01:45:00,57.49,2024-01-26,01:45:00
311,2024-01-26 01:50:00,58.46,2024-01-26,01:50:00
312,2024-01-26 01:55:00,60.23,2024-01-26,01:55:00
313,2024-01-27 01:00:00,47.83,2024-01-27,01:00:00
314,2024-01-27 01:05:00,49.11,2024-01-27,01:05:00
315,2024-01-27 01:10:00,48.14,2024-01-27,01:10:00
316,2024-01-27 01:15:00,41.88,2024-01-27,01:15:00
317,2024-01-27 01:20:00,36.28,2024-01-27,01:20:00
318,2024-01-27 01:25:00,32.83,2024-01-27,01:25:00
319,2024-01-27 01:30:00,38.97,2024-01-27,01:30:00
320,2024-01-27 01:35:00,34.79,2024-01-27,01:35:00
321,2024-01-27 01:40:00,34.79,2024-01-27,01:40:00
322,2024-01-27 01:45:00,34.57,2024-01-27,01:45:00
323,2024-01-27 01:50:00,34.7,2024-01-27,01:50:00
324,2024-01-27 01:55:00,33.91,2024-01-27,01:55:00
325,2024-01-28 01:00:00,48.12,2024-01-28,01:00:00
326,2024-01-28 01:05:00,53.11,2024-01-28,01:05:00
327,2024-01-28 01:10:00,50.7,2024-01-28,01:10:00
328,2024-01-28 01:15:00,52.29,2024-01-28,01:15:00
329,2024-01-28 01:20:00,46.93,2024-01-28,01:20:00
330,2024-01-28 01:25:00,45.71,2024-01-28,01:25:00
331,2024-01-28 01:30:00,45.45,2024-01-28,01:30:00
332,2024-01-28 01:35:00,49.19,2024-01-28,01:35:00
333,2024-01-28 01:40:00,47.17,2024-01-28,01:40:00
334,2024-01-28 01:45:00,47.17,2024-01-28,01:45:00
335,2024-01-28 01:50:00,44.7,2024-01-28,01:50:00
336,2024-01-28 01:55:00,47.17,2024-01-28,01:55:00
337,2024-01-29 01:00:00,99.98,2024-01-29,01:00:00
338,2024-01-29 01:05:00,99.98,2024-01-29,01:05:00
339,2024-01-29 01:10:00,99.98,2024-01-29,01:10:00
340,2024-01-29 01:15:00,71.78,2024-01-29,01:15:00
341,2024-01-29 01:20:00,99.98,2024-01-29,01:20:00
342,2024-01-29 01:25:00,99.98,2024-01-29,01:25:00
343,2024-01-29 01:30:00,99.98,2024-01-29,01:30:00
344,2024-01-29 01:35:00,99.98,2024-01-29,01:35:00
345,2024-01-29 01:40:00,139.44,2024-01-29,01:40:00
346,2024-01-29 01:45:00,99.98,2024-01-29,01:45:00
347,2024-01-29 01:50:00,99.98,2024-01-29,01:50:00
348,2024-01-29 01:55:00,99.98,2024-01-29,01:55:00
349,2024-01-30 01:00:00,99.98,2024-01-30,01:00:00
350,2024-01-30 01:05:00,99.98,2024-01-30,01:05:00
351,2024-01-30 01:10:00,99.98,2024-01-30,01:10:00
352,2024-01-30 01:15:00,99.98,2024-01-30,01:15:00
353,2024-01-30 01:20:00,90.09,2024-01-30,01:20:00
354,2024-01-30 01:25:00,99.98,2024-01-30,01:25:00
355,2024-01-30 01:30:00,99.98,2024-01-30,01:30:00
356,2024-01-30 01:35:00,99.98,2024-01-30,01:35:00
357,2024-01-30 01:40:00,99.98,2024-01-30,01:40:00
358,2024-01-30 01:45:00,99.98,2024-01-30,01:45:00
359,2024-01-30 01:50:00,99.98,2024-01-30,01:50:00
360,2024-01-30 01:55:00,99.98,2024-01-30,01:55:00
361,2024-01-31 01:00:00,35.32,2024-01-31,01:00:00
362,2024-01-31 01:05:00,35.34,2024-01-31,01:05:00
363,2024-01-31 01:10:00,35.33,2024-01-31,01:10:00
364,2024-01-31 01:15:00,36.91,2024-01-31,01:15:00
365,2024-01-31 01:20:00,35.08,2024-01-31,01:20:00
366,2024-01-31 01:25:00,34.95,2024-01-31,01:25:00
367,2024-01-31 01:30:00,34.56,2024-01-31,01:30:00
368,2024-01-31 01:35:00,34.72,2024-01-31,01:35:00
369,2024-01-31 01:40:00,34.45,2024-01-31,01:40:00
370,2024-01-31 01:45:00,33.92,2024-01-31,01:45:00
371,2024-01-31 01:50:00,33.93,2024-01-31,01:50:00
372,2024-01-31 01:55:00,33.79,2024-01-31,01:55:00
