TradingHour,2024Jan,2024Feb,2024Mar,2024Apr,2024May,2024Jun,2024Jul,2024Aug,2024Sep,2024Oct,2024Nov,2024Dec,2025Jan,2025Feb,2025Mar,2025Apr,2025May,2025Jun,2025Jul
0,69.10894878706199,75.66382183908046,71.71215053763441,129.19677777777775,129.2233064516129,143.16677777777778,133.12806451612903,108.37698924731183,61.190777777777775,63.550268817204305,109.78041666666665,111.59206989247312,101.42717741935483,94.66607142857143,88.60416666666667,114.69102777777776,84.70513440860215,128.0332222222222,154.4358490566038
1,64.53822580645162,71.38295977011494,66.23970430107526,108.81044444444446,125.99462365591398,137.9311111111111,120.82166666666667,97.14881720430108,49.48833333333333,52.77448924731183,97.28216666666667,107.95489247311828,93.1433064516129,86.0758630952381,81.10674731182796,108.14177777777778,88.08790322580644,119.08461111111112,113.34492424242424
2,60.4347311827957,69.95617816091954,62.682016129032256,103.60333333333332,119.90448924731183,127.03333333333333,111.70717741935484,78.75900537634408,38.00683333333333,43.66852150537635,92.98136111111111,100.18266129032257,83.167311827957,75.81077380952381,78.64594086021506,101.22694444444444,82.96715053763441,107.78455555555556,95.42893939393939
3,58.288360215053764,75.01698275862068,65.66693548387096,99.25741666666666,122.40397849462366,119.63766666666666,105.02091397849462,69.01217741935484,30.650388888888887,43.692553763440856,90.45299999999999,100.67513440860215,85.44225806451612,74.34077380952381,78.55795698924732,98.04352777777777,75.13956989247312,102.05713888888889,110.66287878787878
4,61.377043010752686,78.72270114942529,71.08903225806452,104.84563888888889,133.33282258064514,123.25927777777778,110.38994623655914,99.80021505376344,19.713,51.4935752688172,100.04966666666665,106.63583333333332,91.59709677419356,79.16663690476192,83.3696505376344,104.5775,75.92704301075268,101.06813888888888,87.30340909090908
5,73.45228494623656,81.84583333333333,83.0419623655914,112.70922222222222,143.332123655914,142.3701111111111,125.51766129032258,77.23736559139785,28.903388888888887,67.43599462365592,105.7316111111111,100.34067204301076,102.38841397849461,110.42791666666666,97.77559139784945,116.89705555555557,85.3133064516129,105.55127777777777,87.90314393939394
6,50.038252688172044,88.88247126436781,110.31887096774194,141.86416666666668,178.07868279569894,169.65144444444442,158.20661290322582,118.69405913978495,51.55788888888889,66.4142741935484,73.90119444444444,42.08486559139785,64.23043010752689,112.5513988095238,123.85220430107526,139.91741666666667,106.44741935483871,129.29716666666667,132.94492424242424
7,22.287553763440858,26.256379310344826,63.100860215053764,164.55458333333334,212.88158602150537,216.6799722222222,202.53225806451613,412.1894892473118,25.516444444444446,114.22739247311827,55.29752777777778,2.3933870967741933,24.730564516129032,52.56672619047619,82.15731182795699,111.93291666666666,138.574623655914,196.039,207.57598484848484
8,12.165940860215052,6.713879310344828,24.27228494623656,82.96419444444444,159.02771505376344,208.33125,446.8800268817204,565.6289784946237,-3.0521666666666665,-23.887661290322583,30.179388888888887,-8.398172043010753,-0.6810483870967743,39.15190476190477,29.926881720430107,69.60194444444444,102.68435483870968,162.34055555555554,232.4476893939394
9,-3.152419354838709,-24.46862068965517,-2.646532258064516,55.91155555555555,119.44118279569894,184.03483333333332,229.01239247311827,149.58416666666668,31.293194444444442,-46.733629032258065,0.062305555555555656,-18.712956989247314,-19.135107526881722,-10.765625,-3.308091397849462,27.162277777777778,63.362876344086025,118.32294444444445,87.88386363636364
10,-19.945833333333333,-31.354827586206895,-13.023548387096774,21.38072222222222,83.91865591397848,152.7433611111111,178.7653494623656,23.5180376344086,17.959333333333333,19.85513440860215,-9.432361111111112,-22.405483870967743,-29.921129032258065,-10.980892857142857,-5.4662634408602155,15.111694444444444,39.924623655913976,100.54880555555556,67.0592803030303
11,-34.141693548387096,-45.27666666666667,-16.04483870967742,9.337694444444445,55.83088709677419,184.32377777777776,69.98717741935484,-5.345752688172043,-35.949444444444445,-31.503145161290323,-23.957472222222222,-28.63674731182796,-20.085967741935484,-28.352619047619047,-10.8125,11.61113888888889,24.90793010752688,87.13888888888889,49.13409090909091
12,-44.153225806451616,-46.82247126436781,-11.214892473118281,6.739777777777778,49.70077956989247,121.58513888888889,53.6546505376344,-16.907150537634408,-42.34313888888889,-71.56806451612903,-32.66658333333333,-30.925887096774193,-25.748870967741937,-25.418511904761907,-16.934005376344086,5.80475,21.138817204301077,75.68797222222221,44.3921590909091
13,-43.20532258064516,-40.69324712643678,-6.834435483870968,2.1672777777777776,50.664139784946244,123.71438888888889,50.726478494623656,-12.477446236559139,-40.851055555555554,-89.11440860215053,-25.34594444444444,-32.10217741935484,-22.34975806451613,-32.46214285714286,-10.341908602150538,0.7140000000000001,16.63924731182796,78.82797222222221,37.680454545454545
14,-36.828467741935484,-26.405775862068968,10.601155913978495,6.351333333333334,59.49204301075269,135.702,66.56212365591398,-2.239005376344086,-36.468694444444445,-34.619381720430106,-11.70188888888889,168.30239247311826,-16.010080645161292,-35.67991071428572,-5.729112903225807,17.83302777777778,23.88233870967742,89.9665,34.492954545454545
15,-17.646075268817206,4.002586206896551,60.27607526881721,30.4965,95.08537634408603,151.19425,89.43844086021505,25.246801075268817,0.7742222222222236,2.0662903225806453,-1.5742222222222229,0.334005376344086,-12.985564516129033,-3.1077083333333335,19.11483870967742,35.42063888888889,42.071532258064515,106.13061111111111,55.23583333333333
16,4.656478494623656,24.271666666666665,86.73483870967742,94.07533333333335,185.7083870967742,249.62602777777778,149.43521505376344,87.00529569892474,-4.05025,-7.398924731182796,28.62886111111111,14.706263440860214,12.71978494623656,31.063482142857143,51.788360215053764,91.51480555555555,89.77846774193547,239.31725000000003,134.17962121212122
17,31.003951612903226,47.672959770114936,142.68548387096774,169.2148611111111,229.91647849462365,319.1424722222222,402.0347043010753,203.06787634408602,108.71052777777778,63.530806451612904,75.08761111111112,43.65064516129033,28.917043010752685,97.08595238095238,92.59258064516129,143.87855555555555,143.84690860215053,855.8776666666668,283.7915151515151
18,74.40491935483871,708.0101149425287,267.69424731182795,170.94780555555556,207.0561827956989,291.79816666666665,595.7115322580645,461.2810752688172,592.2965555555555,122.16161290322582,117.67783333333333,103.77940860215054,84.79002688172042,640.7621726190476,129.27188172043012,161.90858333333333,145.42325268817203,884.3114722222223,339.99321969696973
19,92.41271505376343,121.71008620689655,124.07782258064515,131.62633333333335,179.29752688172042,221.91630555555554,723.3715322580646,402.0211021505377,494.49133333333333,112.89107526881722,131.23441666666668,136.6920698924731,122.63150537634408,396.50354166666665,121.24053763440861,140.76747222222224,123.53653225806451,958.8009999999999,512.658106060606
20,81.91,90.37192528735632,101.82838709677421,124.08227777777779,175.20190860215055,209.58313888888887,902.2069892473119,274.90306451612906,246.03830555555558,98.13483870967742,120.16358333333334,124.65405913978493,112.40220430107527,127.28130952380951,108.83145161290324,136.67191666666668,118.68491935483871,787.8814444444445,518.4269318181817
21,81.73524193548387,79.86227011494253,85.53698924731182,117.58847222222222,153.9838440860215,187.57372222222222,394.4414247311828,158.37653225806451,99.10927777777776,79.23569892473118,116.38172222222222,122.27134408602151,104.14618279569892,113.2027380952381,97.15513440860215,128.7341111111111,109.78075268817204,207.0208888888889,424.56045454545455
22,72.7741935483871,68.95135057471265,81.32932795698925,113.9018611111111,150.0131451612903,166.40316666666666,232.79905913978496,113.75814516129032,88.78994444444444,75.84231182795699,106.92188888888889,113.17655913978494,94.6591935483871,102.73613095238095,84.7606182795699,124.84513888888888,101.80309139784946,140.4206388888889,505.46712121212124
23,74.35927419354839,81.41494252873564,81.96016129032259,118.35533333333333,137.24422043010753,152.92416666666665,137.11752688172044,100.2990053763441,104.84922222222222,73.57728494623656,114.612,116.90045698924732,98.06819892473119,105.37184523809525,87.0839247311828,124.61161111111112,94.64040322580647,128.26783333333333,170.31859848484848
